PARTNERS,TYPE,TREATMEN,LONGEV,LLONGEV,THORAX
8,0,1,35,1.544068044,0.64
8,0,1,37,1.568201724,0.68
8,0,1,49,1.69019608,0.68
8,0,1,46,1.662757832,0.72
8,0,1,63,1.799340549,0.72
8,0,1,39,1.591064607,0.76
8,0,1,46,1.662757832,0.76
8,0,1,56,1.748188027,0.76
8,0,1,63,1.799340549,0.76
8,0,1,65,1.812913357,0.76
8,0,1,56,1.748188027,0.8
8,0,1,65,1.812913357,0.8
8,0,1,70,1.84509804,0.8
8,0,1,63,1.799340549,0.84
8,0,1,65,1.812913357,0.84
8,0,1,70,1.84509804,0.84
8,0,1,77,1.886490725,0.84
8,0,1,81,1.908485019,0.84
8,0,1,86,1.934498451,0.84
8,0,1,70,1.84509804,0.88
8,0,1,70,1.84509804,0.88
8,0,1,77,1.886490725,0.92
8,0,1,77,1.886490725,0.92
8,0,1,81,1.908485019,0.92
8,0,1,77,1.886490725,0.94
0,9,2,40,1.602059991,0.64
0,9,2,37,1.568201724,0.7
0,9,2,44,1.643452676,0.72
0,9,2,47,1.672097858,0.72
0,9,2,47,1.672097858,0.72
0,9,2,47,1.672097858,0.76
0,9,2,68,1.832508913,0.78
0,9,2,47,1.672097858,0.8
0,9,2,54,1.73239376,0.84
0,9,2,61,1.785329835,0.84
0,9,2,71,1.851258349,0.84
0,9,2,75,1.875061263,0.84
0,9,2,89,1.949390007,0.84
0,9,2,58,1.763427994,0.88
0,9,2,59,1.770852012,0.88
0,9,2,62,1.792391689,0.88
0,9,2,79,1.897627091,0.88
0,9,2,96,1.982271233,0.88
0,9,2,58,1.763427994,0.92
0,9,2,62,1.792391689,0.92
0,9,2,70,1.84509804,0.92
0,9,2,72,1.857332496,0.92
0,9,2,75,1.875061263,0.92
0,9,2,96,1.982271233,0.92
0,9,2,75,1.875061263,0.94
1,0,3,46,1.662757832,0.64
1,0,3,42,1.62324929,0.68
1,0,3,65,1.812913357,0.72
1,0,3,46,1.662757832,0.76
1,0,3,58,1.763427994,0.76
1,0,3,42,1.62324929,0.8
1,0,3,48,1.681241237,0.8
1,0,3,58,1.763427994,0.8
1,0,3,50,1.698970004,0.82
1,0,3,80,1.903089987,0.82
1,0,3,63,1.799340549,0.84
1,0,3,65,1.812913357,0.84
1,0,3,70,1.84509804,0.84
1,0,3,70,1.84509804,0.84
1,0,3,72,1.857332496,0.84
1,0,3,97,1.986771734,0.84
1,0,3,46,1.662757832,0.88
1,0,3,56,1.748188027,0.88
1,0,3,70,1.84509804,0.88
1,0,3,70,1.84509804,0.88
1,0,3,72,1.857332496,0.88
1,0,3,76,1.880813592,0.88
1,0,3,90,1.954242509,0.88
1,0,3,76,1.880813592,0.92
1,0,3,92,1.963787827,0.92
1,1,4,21,1.322219295,0.68
1,1,4,40,1.602059991,0.68
1,1,4,44,1.643452676,0.72
1,1,4,54,1.73239376,0.76
1,1,4,36,1.556302501,0.78
1,1,4,40,1.602059991,0.8
1,1,4,56,1.748188027,0.8
1,1,4,60,1.77815125,0.8
1,1,4,48,1.681241237,0.84
1,1,4,53,1.72427587,0.84
1,1,4,60,1.77815125,0.84
1,1,4,60,1.77815125,0.84
1,1,4,65,1.812913357,0.84
1,1,4,68,1.832508913,0.84
1,1,4,60,1.77815125,0.88
1,1,4,81,1.908485019,0.88
1,1,4,81,1.908485019,0.88
1,1,4,48,1.681241237,0.9
1,1,4,48,1.681241237,0.9
1,1,4,56,1.748188027,0.9
1,1,4,68,1.832508913,0.9
1,1,4,75,1.875061263,0.9
1,1,4,81,1.908485019,0.9
1,1,4,48,1.681241237,0.92
1,1,4,68,1.832508913,0.92
8,1,5,16,1.204119983,0.64
8,1,5,19,1.278753601,0.64
8,1,5,19,1.278753601,0.68
8,1,5,32,1.505149978,0.72
8,1,5,33,1.51851394,0.72
8,1,5,33,1.51851394,0.74
8,1,5,30,1.477121255,0.76
8,1,5,42,1.62324929,0.76
8,1,5,42,1.62324929,0.76
8,1,5,33,1.51851394,0.78
8,1,5,26,1.414973348,0.8
8,1,5,30,1.477121255,0.8
8,1,5,40,1.602059991,0.82
8,1,5,54,1.73239376,0.82
8,1,5,34,1.531478917,0.84
8,1,5,34,1.531478917,0.84
8,1,5,47,1.672097858,0.84
8,1,5,47,1.672097858,0.84
8,1,5,42,1.62324929,0.88
8,1,5,47,1.672097858,0.88
8,1,5,54,1.73239376,0.88
8,1,5,54,1.73239376,0.88
8,1,5,56,1.748188027,0.88
8,1,5,60,1.77815125,0.88
8,1,5,44,1.643452676,0.92
